hani	latn
推	ŧyi
蓷	ŧyi
胝	tri
疷	tri
秪	tri
氐	tri
紕	ꝑi
㩺	ꝑi
𦀘	ꝑi
𧧺	ꝑi
悂	ꝑi
𢞗	ꝑi
嶉	țyi
檇	țyi
巋	ꝁryi
蘬	ꝁryi
狋	gri
咦	xi
忾	xi
䐅	xi
𣢂	xi
屎	xi
之	tiv
臸	tiv
芝	tiv
㞢	tiv
飴	jiv
𩛛	jiv
䬮	jiv
怡	jiv
弬	jiv
媐	jiv
异	jiv
㼢	jiv
𣐵	jiv
鏔	jiv
圯	jiv
貽	jiv
巸	jiv
洍	jiv
𦣝	jiv
𩠞	jiv
頤	jiv
詒	jiv
㺿	jiv
沶	jiv
宧	jiv
𦚟	jiv
䱌	jiv
姬	jiv
台	jiv
眙	jiv
瓵	jiv
時	div
旹	div
塒	div
鼭	div
榯	div
蒔	div
鰣	div
疑	giv
嶷	giv
觺	giv
思	siv
恖	siv
司	siv
罳	siv
伺	siv
絲	siv
緦	siv
𥯨	siv
禗	siv
覗	siv
㺇	siv
𥄶	siv
蕬	siv
偲	siv
楒	siv
輜	ṯriv
颸	ṯriv
其	civ
期	civ
旗	civ
綦	civ
綨	civ
𢃛	civ
萁	civ
𧯯	civ
蜝	civ
琪	civ
麒	civ
騏	civ
淇	civ
䳢	civ
錤	civ
藄	civ
棊	civ
櫀	civ
碁	civ
𤪌	civ
璂	civ
鯕	civ
蘄	civ
祺	civ
禥	civ
踑	civ
𦪆	civ
䑴	civ
畁	civ
䶞	civ
詩	šiv
邿	šiv
齝	šiv
𪗪	šiv
呞	šiv
䀢	šiv
而	niv
栭	niv
𣚊	niv
𨼏	niv
陾	niv
陑	niv
髵	niv
峏	niv
𨎪	niv
輀	niv
𦠌	niv
胹	niv
𦓒	niv
𩰴	niv
洏	niv
鮞	niv
耏	niv
咡	niv
䎠	niv
誀	niv
鴯	niv
欺	ꝁiv
娸	ꝁiv
䫥	ꝁiv
䫏	ꝁiv
𠐾	ꝁiv
魌	ꝁiv
僛	ꝁiv
𪅾	ꝁiv
𪀩	ꝁiv
䶞	ꝁiv
抾	ꝁiv
姬	kiv
朞	kiv
稘	kiv
基	kiv
箕	kiv
萁	kiv
䇫	kiv
諅	kiv
其	kiv
錤	kiv
居	kiv
諆	kiv
詞	ziv
祠	ziv
柌	ziv
辭	ziv
辤	ziv
辝	ziv
𥿆	ziv
釐	liv
貍	liv
狸	liv
氂	liv
嫠	liv
剺	liv
梩	liv
犛	liv
𣁟	liv
倈	liv
艃	liv
𣮉	liv
孷	liv
𢟤	liv
𩭇	liv
㾖	liv
筣	liv
斄	liv
𠩬	liv
𠭰	liv
葘	țriv
甾	țriv
𦸜	țriv
湽	țriv
𥀜	țriv
茬	țriv
輺	țriv
鍿	țriv
鶅	țriv
緇	țriv
䊷	țriv
椔	țriv
鯔	țriv
䎩	țriv
䣎	țriv
僖	xiv
歖	xiv
熙	xiv
嬉	xiv
禧	xiv
媐	xiv
譆	xiv
𠩺	xiv
瞦	xiv
㶼	xiv
熹	xiv
嘻	xiv
𣢑	xiv
娭	xiv
誒	xiv
醫	qiv
毉	qiv
譩	qiv
㿄	qiv
噫	qiv
癡	ŧriv
齝	ŧriv
笞	ŧriv
痴	ŧriv
治	driv
持	driv
莉	driv
蚩	ŧiv
嗤	ŧiv
妛	ŧiv
媸	ŧiv
𦐉	ŧiv
𣍆	ŧiv
𥉍	ŧiv
慈	d̦iv
礠	d̦iv
鶿	d̦iv
濨	d̦iv
兹	d̦iv
兹	țiv
孳	țiv
嵫	țiv
孜	țiv
滋	țiv
嗞	țiv
𪑿	țiv
鎡	țiv
孖	țiv
鼒	țiv
鰦	țiv
仔	țiv
鷀	țiv
稵	țiv
茬	d̦riv
漦	zriv
抾	ꝁiv
䀵	šiv
微	myui
𢼸	myui
㵟	myui
薇	myui
䉠	myui
䥩	myui
癓	myui
矀	myui
揮	xyui
煇	xyui
輝	xyui
暉	xyui
徽	xyui
翬	xyui
褘	xyui
鰴	xyui
楎	xyui
幑	xyui
瀈	xyui
㫎	xyui
𤟤	xyui
幃	hyui
韋	hyui
闈	hyui
圍	hyui
䙟	hyui
𩎯	hyui
違	hyui
湋	hyui
囗	hyui
鍏	hyui
潿	hyui
婔	hyui
𧝕	hyui
𠆎	hyui
𢾁	hyui
